species,gene_name,uniprot_id,fasta_accession,notes,
dog,PXR,A0A291NFI6,,Files in pxr/dog_0,
dog,PXR,A0A8C0MNH4,,Files in pxr/dog_1,
dog,PXR,A0A8C0T2F1,,Files in pxr/dog_2,
dog,PXR,A0A8P0NDB9,,Files in pxr/dog_3,
macaque_fasciularis,PXR,A0A2K5U3W4,,Files in pxr/macaque_fasciularis_0,
macaque_fasciularis,PXR,Q4R5Y1,,Files in pxr/macaque_fasciularis_1,
macaque_fasciularis,PXR,G7NXP3,,Files in pxr/macaque_fasciularis_2,
macaque_mulatta,PXR,NR1I2,,Files in pxr/macaque_mulatta_0,
macaque_mulatta,PXR,F6VGK2,,Files in pxr/macaque_mulatta_1,
macaque_mulatta,PXR,A0A8J8XCK4,,Files in pxr/macaque_mulatta_2,
mouse,AHR,P30561,,Files in ahr/mouse_0,
mouse,PXR,O54915,,Files in pxr/mouse_0,
mouse,PXR,O35627,,Files in pxr/mouse_1,
rat,AHR,P41738,,Files in ahr/rat_0,
