species,gene_name,uniprot_id,fasta_accession,notes,,sequence identity
human,ABCB1,P08183,NP_000918.2,Single human ABCB1 (MDR1/P-glycoprotein 1) gene; RefSeq NP_000918.2 is linked to UniProt P08183.,,100
mouse,ABCB1,P21447,NP_035206.2,Mouse has Abcb1a and Abcb1b paralogs; this row uses Abcb1a (Mdr1a) with NP_035206.2 mapping to UniProt P21447.,,87.8125
rat,ABCB1,Q9JK64,NP_596892.1,"Rat also has Abcb1a and Abcb1b; this row uses Abcb1a (NP_596892.1, UniProt Q9JK64). Abcb1b is an additional P-gp gene (NP_036755.2, UniProt P43245).",,85.625
macaca fascicularis,ABCB1,Q8HZQ6,NP_001274251.1,Cynomolgus monkey ABCB1 ortholog; CreativeBiomart lists UniProt Q8HZQ6 with protein RefSeq NP_001274251.,,96.41465315666406
macaca mulatta,ABCB1,Q8HZQ7,NP_001028059.1,Rhesus monkey ABCB1 ortholog; KEGG entry for gene 574235 links NP_001028059 to UniProt Q8HZQ7.,,96.18082618862041
dog,ABCB1,Q4PLA8,NP_001003215.2,"Dog ABCB1 (MDR1) ortholog; NCBI Gene ID 403879 gives NP_001003215.2, which UniProt entry Q4PLA8 maps to ABCB1.",,91.2568306010929
human,ABCG2,Q9UNQ0,NP_004818.2,BCRP; human ABCG2; UniProt reviewed (Swiss-Prot); NP_004818.2 is RefSeq isoform 1; multiple additional isoforms exist Wikipedia+2NCBI+2,,100
mouse,ABCG2,Q7TMS5,NP_036050.1,Bcrp1; mouse Abcg2; UniProt reviewed entry Q7TMS5; RefSeq NP_036050.1 listed as Mus musculus Abcg2 in homology table hgw0.cse.ucsc.edu+1,,83.25722983257229
rat,ABCG2,Q80W57,NP_852046.1,Rat Bcrp; UniProt Q80W57 annotated as Rattus norvegicus ABCG2; RefSeq NP_852046.1 listed as Abcg2 (rat) in homology table kazusa.or.jp+1,,82.80060882800609
macaca mulatta,ABCG2,Q5MB13,,Rhesus ABCG2 ortholog; UniProt Q5MB13 annotated as Macaca mulatta ABCG2; only UniProt/XP_ entries located so NP_ RefSeq not identified in this search GlyCosmos+1,,96.6412213740458
dog,ABCG2,B3RFJ1,NP_001041486.1,Dog ABCG2; UniProt B3RFJ1 annotated as Canis lupus familiaris Abcg2; GenScript and homology table list NP_001041486.1 as dog ABCG2 purl.uniprot.org+2rgd.mcw.edu+2,,84.27480916030534
human,ABCB11,O95342,NP_003733.2,Reviewed UniProt; bile salt export pump (BSEP),,100
mouse,ABCB11,Q9QY30,NP_066302.2,Reviewed UniProt; one of multiple RefSeq isoforms,,82.5889477668433
rat,ABCB11,O70127,NP_113948.1,Reviewed UniProt; bile salt export pump (Bsep),,83.19454958364875
macaca fascicularis,ABCB11,A0A2K5U2L0,,UniProt unreviewed (TrEMBL); RefSeq protein accession not clearly available,,96.51778955336866
macaca mulatta,ABCB11,F6SYV4,,UniProt unreviewed (TrEMBL); RefSeq protein accession not clearly available,,96.90098261526833
dog,ABCB11,B8K1W2,NP_001137404.1,RefSeq bile salt export pump; UniProt accession not clearly available,,89.81132075471699
human,SLC22A1,O15245,NP_003048.1,Reviewed Swiss-Prot entry; multiple RefSeq isoforms reported for human SLC22A1.,,100
mouse,SLC22A1,O08966,NP_033228.2,Reviewed Swiss-Prot entry; RefSeq NP_033228.2 corresponds to mouse Slc22a1.,,78.9568345323741
rat,SLC22A1,Q63089,NP_036829.1,Reviewed Swiss-Prot entry; RefSeq NP_036829.1 corresponds to rat Slc22a1.,,79.13669064748201
macaca fascicularis,SLC22A1,NA,XP_005551559.1,NCBI instead of Uniprot ID requires manual download,,94.22382671480143
papio anubis,SLC22A1,A0A096NZW6,NA,"Homolog from a related species, as macaca mulatta protein not available.",,93.32129963898917
human,SLC22A2,O15244,NP_003049,UniProt reviewed (Swiss-Prot); RefSeq protein NP_003049,,100
mouse,SLC22A2,O70577,NP_038695,UniProt reviewed (Swiss-Prot); RefSeq protein NP_038695,,83.78378378378379
rat,SLC22A2,Q9R0W2,NP_113772,UniProt reviewed (Swiss-Prot); RefSeq protein NP_113772,,82.88288288288288
macaca fascicularis,SLC22A2,A0A7N9D8M1,,UniProt unreviewed (TrEMBL); RefSeq protein accession not clearly available / likely predicted isoforms only,,56.3963963963964
