species,gene_name,uniprot_id,fasta_accession,notes,,sequence identity
dog,,A0A0U2PLQ3,A0A0U2PLQ3_CANLF|protein,Files in cyp/dog_0,,
dog,,A0A0U2PTV9,A0A0U2PTV9_CANLF|protein,Files in cyp/dog_1,,
dog,CYP1A2,A0A8C0MVP8,A0A8C0MVP8_CANLF|protein,Files in cyp/dog_2,,
dog,CYP1A2,A0A8C0MVZ9,A0A8C0MVZ9_CANLF|protein,Files in cyp/dog_3,,
dog,CYP1A2,A0A8C0MW85,A0A8C0MW85_CANLF|protein,Files in cyp/dog_4,,
dog,,A0A8C0MWP1,A0A8C0MWP1_CANLF|protein,Files in cyp/dog_5,,
dog,CYP1A2,A0A8C0N095,A0A8C0N095_CANLF|protein,Files in cyp/dog_6,,
dog,CYP1A2,A0A8C0N0G7,A0A8C0N0G7_CANLF|protein,Files in cyp/dog_7,,
dog,CYP1A2,A0A8C0N4G5,A0A8C0N4G5_CANLF|protein,Files in cyp/dog_8,,
dog,CYP1A2,A0A8C0N8P1,A0A8C0N8P1_CANLF|protein,Files in cyp/dog_9,,
dog,CYP1A2,A0A8C0RHF9,A0A8C0RHF9_CANLF|protein,Files in cyp/dog_10,,
dog,CYP1A2,A0A8C0T5R7,A0A8C0T5R7_CANLF|protein,Files in cyp/dog_11,,
dog,CYP1A1,A0A8C0T7P3,A0A8C0T7P3_CANLF|protein,Files in cyp/dog_12,,
dog,CYP1A1,A0A8I3NSK1,A0A8I3NSK1_CANLF|protein,Files in cyp/dog_13,,
dog,CYP1A1,A0A8I3NTE0,A0A8I3NTE0_CANLF|protein,Files in cyp/dog_14,,
dog,CYP1A2,A0A8I3P112,A0A8I3P112_CANLF|protein,Files in cyp/dog_15,,
dog,CYP1A2,A0A8I3RZY7,A0A8I3RZY7_CANLF|protein,Files in cyp/dog_16,,
dog,CYP1A1,A0A8P0NJ85,A0A8P0NJ85_CANLF|protein,Files in cyp/dog_17,,
dog,CYP1A2,A0A8P0NUE6,A0A8P0NUE6_CANLF|protein,Files in cyp/dog_18,,
dog,CYP1B1,C1KG39,C1KG39_CANLF|protein,Files in cyp/dog_19,,
dog,CYP3A12,P24463,CP3AC_CANLF|protein,Files in cyp/dog_20,,
dog,CYP1A1,P56590,CP1A1_CANLF|protein,Files in cyp/dog_21,,
dog,CYP1A2,P56592,CP1A2_CANLF|protein,Files in cyp/dog_22,,
dog,CYP2E1,Q9MZY0,CP2E1_CANLF|protein,Files in cyp/dog_23,,
dog,CYP1A2,X5L1K8,X5L1K8_CANLF|protein,Files in cyp/dog_24,,
dog,CYP1A2,X5L560,X5L560_CANLF|protein,Files in cyp/dog_25,,
dog,KLKB1,A0A8C0RME7,A0A8C0RME7_CANLF|protein,Files in cyp/dog_26,,
dog,CYP26B1,A0A8C0T1I2,A0A8C0T1I2_CANLF|protein,Files in cyp/dog_27,,
dog,CYP2E1,A0A8C0T4B0,A0A8C0T4B0_CANLF|protein,Files in cyp/dog_28,,
dog,,A0A8C0T7L5,A0A8C0T7L5_CANLF|protein,Files in cyp/dog_29,,
dog,CYP4V2,A0A8C0YTN7,A0A8C0YTN7_CANLF|protein,Files in cyp/dog_30,,
dog,CYP2W1,A0A8I3N9J7,A0A8I3N9J7_CANLF|protein,Files in cyp/dog_31,,
dog,CYP2D6,A0A8I3NSF3,A0A8I3NSF3_CANLF|protein,Files in cyp/dog_32,,
dog,CYP26B1,A0A8I3P615,A0A8I3P615_CANLF|protein,Files in cyp/dog_33,,
dog,CYP4V2,A0A8I3P9M8,A0A8I3P9M8_CANLF|protein,Files in cyp/dog_34,,
dog,CYP2E1,A0A8I3PU60,A0A8I3PU60_CANLF|protein,Files in cyp/dog_35,,
dog,CYP2U1,A0A8I3Q1U3,A0A8I3Q1U3_CANLF|protein,Files in cyp/dog_36,,
dog,CYP2E1,A0A8P0P5K6,A0A8P0P5K6_CANLF|protein,Files in cyp/dog_37,,
dog,CYP2B11,P24460,CP2BB_CANLF|protein,Files in cyp/dog_38,,
dog,CYP2D15,Q29473,CP2DF_CANLF|protein,Files in cyp/dog_39,,
dog,,Q8HZK1,Q8HZK1_CANLF|protein,Files in cyp/dog_40,,
dog,CYP3A12,X5KCU3,X5KCU3_CANLF|protein,Files in cyp/dog_41,,
dog,CYP3A12,X5KJC0,X5KJC0_CANLF|protein,Files in cyp/dog_42,,
dog,CYP3A12,X5L1L5,X5L1L5_CANLF|protein,Files in cyp/dog_43,,
dog,CYP3A12,X5L565,X5L565_CANLF|protein,Files in cyp/dog_44,,
dog,CYP2W1,A0A8C0MH85,A0A8C0MH85_CANLF|protein,Files in cyp/dog_45,,
dog,CYP2W1,A0A8C0ML31,A0A8C0ML31_CANLF|protein,Files in cyp/dog_46,,
dog,CYP26A1,A0A8C0N338,A0A8C0N338_CANLF|protein,Files in cyp/dog_47,,
dog,,A0A8C0PI42,A0A8C0PI42_CANLF|protein,Files in cyp/dog_48,,
